timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329556.8065834,31.339,14.397,0.013,65.756,15.21,0,0.000
1773329556.8723598,34.140,14.667,0.013,64.520,15.50,0,0.000
1773329556.9388533,32.147,14.313,0.013,65.545,15.26,0,0.000
1773329557.0056202,32.269,14.324,0.012,65.973,15.16,0,0.000
1773329557.078261,32.766,15.144,0.011,71.693,13.95,0,0.000
1773329557.1399148,26.970,14.600,0.012,60.610,16.50,0,0.000
1773329557.2054753,31.185,14.510,0.013,64.631,15.47,0,0.000
1773329557.2722094,32.057,14.303,0.013,65.812,15.19,0,0.000
1773329557.3386927,31.929,14.556,0.017,65.380,15.30,0,0.000
1773329557.4053223,33.186,14.242,0.013,65.641,15.23,0,0.000
1773329557.47198,32.637,14.325,0.013,65.730,15.21,0,0.000
1773329557.5393348,32.111,14.916,0.016,66.524,15.03,0,0.000
1773329557.606238,32.034,15.254,0.015,65.851,15.19,0,0.000
1773329557.6723747,31.154,15.300,0.015,64.896,15.41,0,0.000
1773329557.7400374,32.562,14.907,0.015,66.684,15.00,0,0.000
1773329557.8080266,31.019,14.692,0.015,67.090,14.91,0,0.000
1773329557.8723717,32.441,17.031,0.018,62.976,15.88,0,0.000
1773329557.939015,31.931,14.801,0.012,65.761,15.21,0,0.000
1773329558.0054157,31.924,14.712,0.013,65.185,15.34,0,0.000
1773329558.0734856,32.811,14.661,0.012,67.257,14.87,0,0.000
1773329558.1388767,30.739,14.678,0.012,64.388,15.53,0,0.000
1773329558.2054572,32.459,14.779,0.012,65.711,15.22,0,0.000
1773329558.2724276,32.171,14.682,0.010,65.998,15.15,0,0.000
1773329558.3424466,31.624,14.759,0.012,69.134,14.46,0,0.000
1773329558.4054334,29.405,15.656,0.015,62.008,16.13,0,0.000
1773329558.4721568,31.864,14.833,0.014,65.906,15.17,0,0.000
1773329558.5385306,31.672,14.636,0.015,65.184,15.34,0,0.000
1773329558.6052666,33.227,14.752,0.014,65.899,15.17,0,0.000
1773329558.6718705,32.184,14.627,0.013,65.607,15.24,0,0.000
1773329558.7387886,32.210,14.682,0.016,65.827,15.19,0,0.000
1773329558.8055675,31.891,15.478,0.017,65.640,15.23,0,0.000
1773329558.8729877,30.795,16.179,0.017,65.343,15.30,0,0.000
1773329558.9387856,30.656,15.181,0.015,64.434,15.52,0,0.000
1773329559.0051718,31.731,14.869,0.013,65.472,15.27,0,0.000
1773329559.0734072,32.406,14.809,0.013,67.267,14.87,0,0.000
1773329559.1399653,30.401,15.427,0.016,65.575,15.25,0,0.000
1773329559.2046719,32.558,14.515,0.012,63.691,15.70,0,0.000
1773329559.271287,32.135,14.300,0.010,65.815,15.19,0,0.000
1773329559.3380024,32.068,14.871,0.013,65.650,15.23,0,0.000
1773329559.4044945,31.954,14.566,0.013,65.582,15.25,0,0.000
1773329559.47124,32.534,14.328,0.012,65.678,15.23,0,0.000
